Name,Mode,Binding Energy (kcal/mol),RMSD l.b.,RMSD u.b.
WSA257_Conformation5,5,-7.2,15.051,19.933
WSA257_Conformation6,6,-7.2,2.672,5.611
WSA257_Conformation7,7,-6.8,2.794,4.519
WSA257_Conformation8,8,-6.7,7.946,12.802
WSA257_Conformation9,9,-6.7,3.546,6.645
WSA250_Conformation1,1,-7.8,0.0,0.0
WSA250_Conformation2,2,-7.5,2.557,3.401
WSA250_Conformation3,3,-7.5,13.007,16.552
WSA250_Conformation4,4,-7.4,4.003,6.706
WSA250_Conformation5,5,-7.3,3.179,8.902
WSA250_Conformation6,6,-7.1,4.271,11.264
WSA250_Conformation7,7,-7.1,1.765,4.303
WSA250_Conformation8,8,-7.1,13.341,17.11
WSA250_Conformation9,9,-7.1,3.681,9.648
WSA261_Conformation1,1,-8.5,0.0,0.0
WSA261_Conformation2,2,-8.4,2.766,8.489
WSA261_Conformation3,3,-8.4,2.276,7.009
WSA261_Conformation4,4,-8.3,3.301,7.931
WSA261_Conformation5,5,-8.3,7.542,13.137
WSA261_Conformation6,6,-8.3,8.429,12.547
WSA261_Conformation7,7,-8.2,2.861,5.182
WSA261_Conformation8,8,-8.2,4.082,8.318
WSA261_Conformation9,9,-8.2,2.982,5.655
