Name,Mode,Binding Energy (kcal/mol),RMSD l.b.,RMSD u.b.
TBM3_Conformation5,5,-7.0,8.979,12.368
TBM3_Conformation6,6,-6.9,4.159,7.407
TBM3_Conformation7,7,-6.7,2.41,3.796
TBM3_Conformation8,8,-6.7,2.89,5.966
TBM3_Conformation9,9,-6.6,5.202,7.857
TBM4_Conformation1,1,-7.7,0.0,0.0
TBM4_Conformation2,2,-7.7,4.955,8.929
TBM4_Conformation3,3,-7.5,4.402,9.907
TBM4_Conformation4,4,-7.4,5.025,9.105
TBM4_Conformation5,5,-7.4,5.731,10.557
TBM4_Conformation6,6,-7.3,5.566,10.24
TBM4_Conformation7,7,-7.3,7.475,11.629
TBM4_Conformation8,8,-7.1,5.54,8.329
TBM4_Conformation9,9,-7.1,5.338,9.858
TBM10_Conformation1,1,-9.2,0.0,0.0
TBM10_Conformation2,2,-8.7,2.36,9.087
TBM10_Conformation3,3,-8.4,9.34,16.041
TBM10_Conformation4,4,-8.4,6.836,11.017
TBM10_Conformation5,5,-8.2,9.365,16.328
TBM10_Conformation6,6,-8.2,8.917,13.485
TBM10_Conformation7,7,-8.2,3.588,9.197
TBM10_Conformation8,8,-8.2,3.607,8.53
TBM10_Conformation9,9,-8.0,8.385,13.625
TBM16_Conformation1,1,-9.1,0.0,0.0
TBM16_Conformation2,2,-8.9,3.1,9.656
TBM16_Conformation3,3,-8.9,2.504,7.725
TBM16_Conformation4,4,-8.7,3.162,12.579
TBM16_Conformation5,5,-8.6,9.87,17.137
TBM16_Conformation6,6,-8.5,9.652,16.264
TBM16_Conformation7,7,-8.4,10.503,17.607
TBM16_Conformation8,8,-8.3,5.198,15.461
TBM16_Conformation9,9,-8.2,5.59,12.221
TBM11_Conformation1,1,-8.9,0.0,0.0
TBM11_Conformation2,2,-8.7,2.482,9.027
TBM11_Conformation3,3,-8.5,6.478,10.803
TBM11_Conformation4,4,-8.5,10.536,15.87
TBM11_Conformation5,5,-8.5,3.514,7.577
TBM11_Conformation6,6,-8.3,3.794,8.876
TBM11_Conformation7,7,-8.3,8.462,13.078
TBM11_Conformation8,8,-8.3,8.829,13.291
TBM11_Conformation9,9,-8.3,3.295,9.122
WSA272_Conformation1,1,-7.5,0.0,0.0
WSA272_Conformation2,2,-7.3,1.847,8.201
WSA272_Conformation3,3,-7.2,2.114,8.47
WSA272_Conformation4,4,-6.9,3.488,7.264
WSA272_Conformation5,5,-6.8,8.633,12.884
WSA272_Conformation6,6,-6.7,2.184,3.318
WSA272_Conformation7,7,-6.7,8.386,12.561
WSA272_Conformation8,8,-6.6,8.537,13.116
WSA272_Conformation9,9,-6.6,8.037,12.83
WSA275_Conformation1,1,-7.8,0.0,0.0
WSA275_Conformation2,2,-7.6,2.393,3.711
WSA275_Conformation3,3,-7.6,3.459,8.08
WSA275_Conformation4,4,-7.6,7.863,12.428
WSA275_Conformation5,5,-7.6,1.975,2.75
WSA275_Conformation6,6,-7.5,8.264,12.473
WSA275_Conformation7,7,-7.3,7.261,10.423
WSA275_Conformation8,8,-7.3,3.284,6.089
WSA275_Conformation9,9,-7.0,6.908,9.032
WSA274_Conformation1,1,-8.3,0.0,0.0
WSA274_Conformation2,2,-8.2,8.166,12.381
WSA274_Conformation3,3,-8.2,3.155,7.701
WSA274_Conformation4,4,-8.2,8.545,13.352
WSA274_Conformation5,5,-8.2,8.443,13.465
WSA274_Conformation6,6,-8.0,2.067,7.346
WSA274_Conformation7,7,-8.0,3.67,6.789
WSA274_Conformation8,8,-7.9,8.212,13.508
WSA274_Conformation9,9,-7.7,4.72,8.265
WSA280_Conformation1,1,-8.3,0.0,0.0
WSA280_Conformation2,2,-8.3,8.284,13.563
WSA280_Conformation3,3,-8.3,8.308,13.421
WSA280_Conformation4,4,-8.2,7.86,12.47
WSA280_Conformation5,5,-8.0,6.821,12.16
WSA280_Conformation6,6,-8.0,8.242,12.735
WSA280_Conformation7,7,-7.9,8.055,13.849
WSA280_Conformation8,8,-7.8,7.726,13.563
WSA280_Conformation9,9,-7.6,7.474,13.268
WSA273_Conformation1,1,-7.8,0.0,0.0
WSA273_Conformation2,2,-7.8,8.536,13.412
WSA273_Conformation3,3,-7.7,3.007,6.574
WSA273_Conformation4,4,-7.7,8.899,14.324
WSA273_Conformation5,5,-7.7,8.592,13.586
WSA273_Conformation6,6,-7.4,3.849,9.019
WSA273_Conformation7,7,-7.4,7.847,11.229
WSA273_Conformation8,8,-7.3,12.935,17.627
WSA273_Conformation9,9,-7.3,7.157,12.022
TBM1_Conformation1,1,-7.3,0.0,0.0
TBM1_Conformation2,2,-7.3,7.75,11.848
TBM1_Conformation3,3,-7.2,8.411,12.18
TBM1_Conformation4,4,-7.0,8.072,12.3
TBM1_Conformation5,5,-7.0,1.438,1.766
TBM1_Conformation6,6,-6.9,1.856,4.591
TBM1_Conformation7,7,-6.9,5.437,9.345
TBM1_Conformation8,8,-6.6,2.365,3.801
TBM1_Conformation9,9,-6.6,2.721,5.822
TBM6_Conformation1,1,-7.6,0.0,0.0
TBM6_Conformation2,2,-7.1,2.176,3.716
TBM6_Conformation3,3,-7.0,8.336,12.002
TBM6_Conformation4,4,-6.8,3.36,6.464
TBM6_Conformation5,5,-6.8,3.689,7.932
TBM6_Conformation6,6,-6.7,2.707,5.721
TBM6_Conformation7,7,-6.5,9.707,12.173
TBM6_Conformation8,8,-6.5,3.749,7.158
TBM6_Conformation9,9,-6.4,1.824,3.915
TBM8_Conformation1,1,-7.6,0.0,0.0
TBM8_Conformation2,2,-7.4,4.572,8.977
TBM8_Conformation3,3,-7.4,16.424,21.476
TBM8_Conformation4,4,-7.3,14.942,19.879
TBM8_Conformation5,5,-7.3,2.174,3.464
TBM8_Conformation6,6,-7.3,8.064,11.955
TBM8_Conformation7,7,-7.2,14.508,19.271
TBM8_Conformation8,8,-7.2,16.564,21.496
TBM8_Conformation9,9,-7.2,10.226,14.904
WSA267_Conformation1,1,-8.6,0.0,0.0
WSA267_Conformation2,2,-8.2,1.732,2.584
WSA267_Conformation3,3,-8.1,1.328,1.898
WSA267_Conformation4,4,-8.1,2.252,10.764
WSA267_Conformation5,5,-8.1,2.209,10.59
WSA267_Conformation6,6,-7.6,2.903,10.211
WSA267_Conformation7,7,-7.5,2.528,5.102
WSA267_Conformation8,8,-7.5,1.46,2.173
WSA267_Conformation9,9,-7.3,3.032,11.113
TBM9_Conformation1,1,-9.5,0.0,0.0
TBM9_Conformation2,2,-9.0,6.014,10.627
TBM9_Conformation3,3,-8.8,2.279,9.22
TBM9_Conformation4,4,-8.6,8.621,12.19
TBM9_Conformation5,5,-8.5,9.563,16.826
TBM9_Conformation6,6,-8.5,9.233,16.179
TBM9_Conformation7,7,-8.5,8.859,12.999
TBM9_Conformation8,8,-8.3,4.662,7.517
TBM9_Conformation9,9,-8.2,1.525,6.075
TBM7_Conformation1,1,-7.9,0.0,0.0
TBM7_Conformation2,2,-7.4,2.145,3.614
TBM7_Conformation3,3,-7.3,8.003,12.399
TBM7_Conformation4,4,-7.3,4.937,9.077
TBM7_Conformation5,5,-7.1,8.37,12.272
TBM7_Conformation6,6,-7.1,1.617,1.972
TBM7_Conformation7,7,-7.1,2.865,7.103
TBM7_Conformation8,8,-6.8,4.405,8.014
TBM7_Conformation9,9,-6.8,4.014,7.256
WSA268_Conformation1,1,-7.1,0.0,0.0
WSA268_Conformation2,2,-7.0,3.276,5.641
WSA268_Conformation3,3,-6.7,11.639,14.882
WSA268_Conformation4,4,-6.6,3.76,11.112
WSA268_Conformation5,5,-6.6,2.444,8.547
WSA268_Conformation6,6,-6.5,5.339,12.642
WSA268_Conformation7,7,-6.3,2.679,4.27
